alpha	epsilon	Q1	optimal_action	avg_rewards
0.10	0.00	0.00	508.066500	1202.435307
0.10	0.10	0.00	623.640500	1266.033641
0.10	0.20	0.00	620.071250	1133.904007
0.10	0.30	0.00	564.316500	1018.725538
0.10	0.40	0.00	506.398500	869.806313
0.10	0.50	0.00	440.523750	745.411578
0.10	0.60	0.00	371.697000	598.665247
0.10	0.70	0.00	304.203750	423.873028
0.10	0.80	0.00	238.351250	298.211319
0.10	0.90	0.00	167.835000	149.520846
0.20	0.00	0.00	590.020750	1321.953232
0.20	0.10	0.00	671.752250	1298.999898
0.20	0.20	0.00	623.456250	1159.257960
0.20	0.30	0.00	547.294000	1030.747581
0.20	0.40	0.00	486.970500	874.541673
0.20	0.50	0.00	413.269250	704.022442
0.20	0.60	0.00	348.208250	557.606511
0.20	0.70	0.00	289.073000	432.738892
0.20	0.80	0.00	223.591500	289.265443
0.20	0.90	0.00	163.058750	160.602985
0.30	0.00	0.00	668.000750	1369.138274
0.30	0.10	0.00	655.267750	1283.074748
0.30	0.20	0.00	586.576000	1131.979463
0.30	0.30	0.00	517.313750	990.324884
0.30	0.40	0.00	451.808500	828.786358
0.30	0.50	0.00	390.965500	711.199226
0.30	0.60	0.00	329.895000	569.954850
0.30	0.70	0.00	271.263500	412.801660
0.30	0.80	0.00	214.207250	287.917542
0.30	0.90	0.00	156.811250	133.224151
0.40	0.00	0.00	687.118000	1407.396296
0.40	0.10	0.00	639.915250	1284.926493
0.40	0.20	0.00	556.473500	1105.154179
0.40	0.30	0.00	491.474000	961.678675
0.40	0.40	0.00	427.618500	817.068705
0.40	0.50	0.00	371.256250	672.355627
0.40	0.60	0.00	311.088750	547.210339
0.40	0.70	0.00	256.107250	388.654180
0.40	0.80	0.00	202.997250	269.413686
0.40	0.90	0.00	152.454750	135.275398
0.50	0.00	0.00	695.919500	1404.928101
0.50	0.10	0.00	595.304250	1224.782394
0.50	0.20	0.00	527.295500	1099.400629
0.50	0.30	0.00	462.410000	931.959627
0.50	0.40	0.00	399.337000	799.751065
0.50	0.50	0.00	347.263500	663.018484
0.50	0.60	0.00	296.358750	529.919534
0.50	0.70	0.00	244.700250	397.215467
0.50	0.80	0.00	196.838750	258.179750
0.50	0.90	0.00	148.298750	131.626749
0.60	0.00	0.00	686.852250	1392.986393
0.60	0.10	0.00	566.214750	1196.624021
0.60	0.20	0.00	492.472500	1048.894001
0.60	0.30	0.00	433.338500	900.223152
0.60	0.40	0.00	374.864250	760.953422
0.60	0.50	0.00	326.691250	626.548219
0.60	0.60	0.00	278.792000	511.017175
0.60	0.70	0.00	233.568000	378.914329
0.60	0.80	0.00	188.444250	256.589778
0.60	0.90	0.00	144.392250	118.140269
0.70	0.00	0.00	663.656000	1379.779015
0.70	0.10	0.00	529.695500	1146.142609
0.70	0.20	0.00	466.867000	1003.068402
0.70	0.30	0.00	411.017250	866.472084
0.70	0.40	0.00	356.049500	737.752234
0.70	0.50	0.00	309.543750	598.661517
0.70	0.60	0.00	265.948750	490.892617
0.70	0.70	0.00	221.545000	364.034463
0.70	0.80	0.00	180.063500	227.047900
0.70	0.90	0.00	140.413000	122.142316
0.80	0.00	0.00	627.522750	1313.740634
0.80	0.10	0.00	512.190250	1117.286324
0.80	0.20	0.00	438.093500	951.760580
0.80	0.30	0.00	385.328500	819.025968
0.80	0.40	0.00	334.993000	687.019378
0.80	0.50	0.00	295.303250	575.276772
0.80	0.60	0.00	247.451750	445.649409
0.80	0.70	0.00	211.890250	349.976405
0.80	0.80	0.00	173.430250	228.530224
0.80	0.90	0.00	137.655500	122.526712
0.90	0.00	0.00	599.701500	1288.599908
0.90	0.10	0.00	474.066250	1078.080954
0.90	0.20	0.00	408.724750	901.497476
0.90	0.30	0.00	357.462500	791.244734
0.90	0.40	0.00	319.061000	669.961414
0.90	0.50	0.00	275.814500	548.955291
0.90	0.60	0.00	238.260250	437.065973
0.90	0.70	0.00	201.177500	314.614664
0.90	0.80	0.00	168.308750	203.021174
0.90	0.90	0.00	134.458000	95.928193
